Nombre;Alemania;
Subescenario;1860;
Tipo;economicos;
Producción carbón (Tm);8.3505E7;
Total de la producción cerealera (trigo, maíz, centeno, avena, arroz) (Tm);646000.0;
PIB ($ Geary-Khamis de 1990);7.6E10;
Producción acero (Tm);122332.45;
Población total;2.180915E7;
Tipo;militares;
Reservistas -de todos los ejércitos-;152285.0;
Soldados -de todos los ejércitos-;311603.8;
Infraestructura desarrollada;0.95;
Densidad ferroviaria (km/km2);0.0665;
Tipo;navales;
naval_power;0.0;
Tonelaje desplazado por la Armada (Tm);670288.65;
Tonelaje desplazado por la marina mercante (Tm);5427350.0;
Subescenario;1870;
Tipo;economicos;
Producción carbón (Tm);1.1115E8;
Total de la producción cerealera (trigo, maíz, centeno, avena, arroz) (Tm);665000.0;
PIB ($ Geary-Khamis de 1990);8.55E10;
Producción acero (Tm);317300.0;
Población total;2.45461E7;
Tipo;militares;
Reservistas -de todos los ejércitos-;232750.0;
Soldados -de todos los ejércitos-;333586.8;
Infraestructura desarrollada;0.95;
Densidad ferroviaria (km/km2);0.09784999999999999;
Tipo;navales;
naval_power;0.0;
Tonelaje desplazado por la Armada (Tm);1045000.0;
Tonelaje desplazado por la marina mercante (Tm);6792500.0;
Subescenario;1880;
Tipo;economicos;
Producción carbón (Tm);1.4155E8;
Total de la producción cerealera (trigo, maíz, centeno, avena, arroz) (Tm);5940511.5;
PIB ($ Geary-Khamis de 1990);9.5E10;
Producción acero (Tm);3515000.0;
Población total;2.7949279299999997E7;
Tipo;militares;
Reservistas -de todos los ejércitos-;231325.0;
Soldados -de todos los ejércitos-;375744.94999999995;
Infraestructura desarrollada;0.95;
Densidad ferroviaria (km/km2);0.11399999999999999;
Tipo;navales;
naval_power;0.95;
Tonelaje desplazado por la Armada (Tm);1128391.95;
Tonelaje desplazado por la marina mercante (Tm);8108250.0;
Subescenario;1890;
Tipo;economicos;
Producción carbón (Tm);1.7575E8;
Infraestructura desarrollada;0.95;
Total de la producción cerealera (trigo, maíz, centeno, avena, arroz) (Tm);5950077.05;
PIB ($ Geary-Khamis de 1990);1.045E11;
Producción acero (Tm);5035000.0;
Población total;3.112848945E7;
Tipo;militares;
Reservistas -de todos los ejércitos-;245100.0;
Soldados -de todos los ejércitos-;399000.0;
Infraestructura desarrollada;0.95;
Densidad ferroviaria (km/km2);0.12635;
Tipo;navales;
naval_power;0.95;
Tonelaje desplazado por la Armada (Tm);4750000.0;
Tonelaje desplazado por la marina mercante (Tm);7579100.0;
