Nombre;Francia;
Subescenario;1860;
Tipo;economicos;
Producción carbón (Tm);1.1946324169919997E7;
Total de la producción cerealera (trigo, maíz, centeno, avena, arroz) (Tm);92417.52486399999;
PIB ($ Geary-Khamis de 1990);9.513568736E9;
Producción acero (Tm);17501.025138620804;
Población total;3120042.8210336;
Tipo;militares;
Reservistas -de todos los ejércitos-;21786.072405439998;
Soldados -de todos los ejércitos-;44578.4085668992;
Infraestructura desarrollada;0.13590812479999997;
Densidad ferroviaria (km/km2);0.009513568736;
Tipo;navales;
naval_power;0.0;
Tonelaje desplazado por la Armada (Tm);55119.8504507616;
Tonelaje desplazado por la marina mercante (Tm);368718.7425823999;
Subescenario;1870;
Tipo;economicos;
Producción carbón (Tm);1.5901250601599999E7;
Total de la producción cerealera (trigo, maíz, centeno, avena, arroz) (Tm);95135.68735999998;
PIB ($ Geary-Khamis de 1990);1.0872649984E10;
Producción acero (Tm);45393.313683199995;
Población total;3511594.1285824;
Tipo;militares;
Reservistas -de todos los ejércitos-;33297.490576;
Soldados -de todos los ejércitos-;47723.32257477119;
Infraestructura desarrollada;0.13590812479999997;
Densidad ferroviaria (km/km2);0.0139985368544;
Tipo;navales;
naval_power;0.0;
Tonelaje desplazado por la Armada (Tm);55119.8504507616;
Tonelaje desplazado por la marina mercante (Tm);368718.7425823999;
Subescenario;1880;
Tipo;economicos;
Producción carbón (Tm);2.02503105952E7;
Total de la producción cerealera (trigo, maíz, centeno, avena, arroz) (Tm);849856.608755616;
PIB ($ Geary-Khamis de 1990);1.2231731232E10;
Producción acero (Tm);502860.0617599999;
Población total;3998456.988604692;
Tipo;militares;
Reservistas -de todos los ejércitos-;33093.628388799996;
Soldados -de todos los ejércitos-;53754.5174290208;
Infraestructura desarrollada;0.13590812479999997;
Densidad ferroviaria (km/km2);0.016308974976;
Tipo;navales;
naval_power;0.0;
Tonelaje desplazado por la Armada (Tm);55119.8504507616;
Tonelaje desplazado por la marina mercante (Tm);368718.7425823999;
Subescenario;1890;
Tipo;economicos;
Producción carbón (Tm);2.5143003087999996E7;
Total de la producción cerealera (trigo, maíz, centeno, avena, arroz) (Tm);851225.0676642273;
PIB ($ Geary-Khamis de 1990);1.359081248E10;
Producción acero (Tm);720313.06144;
Población total;4453278.556848508;
Tipo;militares;
Reservistas -de todos los ejércitos-;35064.2961984;
Soldados -de todos los ejércitos-;57081.412416;
Infraestructura desarrollada;0.13590812479999997;
Densidad ferroviaria (km/km2);0.018075780598399996;
Tipo;navales;
naval_power;0.0;
Tonelaje desplazado por la Armada (Tm);55119.8504507616;
Tonelaje desplazado por la marina mercante (Tm);368718.7425823999;
