Nombre;Japón;
Subescenario;1943;
Tipo;fuerzas aéreas;
Defensas anti-aéreas;143.99885572437452;
Pilotos;143.99885572437452;
Cazas y bombarderos;143.99885572437452;
Tipo;militares;
Infraestructura desarrollada;0.14399885572437454;
Soldados y marineros;143.99885572437452;
Kilómetros de ferrocarril;143.99885572437452;
Reservistas;143.99885572437452;
Tipo;navales;
Armada;143.99885572437452;
Potencia naval;0.14399885572437454;
Marina mercante;143.99885572437452;
Tipo;económicos;
PIB;143.99885572437452;
Producción agrícola;143.99885572437452;
Producción industrial;143.99885572437452;
Población total;143.99885572437452;
Subescenario;1942;
Tipo;fuerzas aéreas;
Defensas anti-aéreas;143.99885572437452;
Pilotos;143.99885572437452;
Cazas y bombarderos;143.99885572437452;
Tipo;militares;
Infraestructura desarrollada;0.14399885572437454;
Soldados y marineros;143.99885572437452;
Kilómetros de ferrocarril;143.99885572437452;
Reservistas;143.99885572437452;
Tipo;navales;
Armada;143.99885572437452;
Potencia naval;0.14399885572437454;
Marina mercante;143.99885572437452;
Tipo;económicos;
PIB;143.99885572437452;
Producción agrícola;143.99885572437452;
Producción industrial;143.99885572437452;
Población total;143.99885572437452;
Subescenario;1941;
Tipo;fuerzas aéreas;
Defensas anti-aéreas;143.99885572437452;
Pilotos;143.99885572437452;
Cazas y bombarderos;143.99885572437452;
Tipo;militares;
Infraestructura desarrollada;0.14399885572437454;
Soldados y marineros;143.99885572437452;
Kilómetros de ferrocarril;143.99885572437452;
Reservistas;143.99885572437452;
Tipo;navales;
Armada;143.99885572437452;
Potencia naval;0.14399885572437454;
Marina mercante;143.99885572437452;
Tipo;económicos;
PIB;143.99885572437452;
Producción agrícola;143.99885572437452;
Producción industrial;143.99885572437452;
Población total;143.99885572437452;
Subescenario;1940;
Tipo;fuerzas aéreas;
Defensas anti-aéreas;143.99885572437452;
Pilotos;143.99885572437452;
Cazas y bombarderos;143.99885572437452;
Tipo;militares;
Infraestructura desarrollada;0.14399885572437454;
Soldados y marineros;143.99885572437452;
Kilómetros de ferrocarril;143.99885572437452;
Reservistas;143.99885572437452;
Tipo;navales;
Armada;143.99885572437452;
Potencia naval;0.14399885572437454;
Marina mercante;143.99885572437452;
Tipo;económicos;
PIB;143.99885572437452;
Producción agrícola;143.99885572437452;
Producción industrial;143.99885572437452;
Población total;143.99885572437452;
Subescenario;1939;
Tipo;fuerzas aéreas;
Defensas anti-aéreas;143.99885572437452;
Pilotos;143.99885572437452;
Cazas y bombarderos;143.99885572437452;
Tipo;militares;
Infraestructura desarrollada;0.14399885572437454;
Soldados y marineros;143.99885572437452;
Kilómetros de ferrocarril;143.99885572437452;
Reservistas;143.99885572437452;
Tipo;navales;
Armada;143.99885572437452;
Potencia naval;0.14399885572437454;
Marina mercante;143.99885572437452;
Tipo;económicos;
PIB;143.99885572437452;
Producción agrícola;143.99885572437452;
Producción industrial;143.99885572437452;
Población total;143.99885572437452;
Subescenario;1945;
Tipo;fuerzas aéreas;
Defensas anti-aéreas;143.99885572437452;
Pilotos;143.99885572437452;
Cazas y bombarderos;143.99885572437452;
Tipo;militares;
Infraestructura desarrollada;0.14399885572437454;
Soldados y marineros;143.99885572437452;
Kilómetros de ferrocarril;143.99885572437452;
Reservistas;143.99885572437452;
Tipo;navales;
Armada;143.99885572437452;
Potencia naval;0.14399885572437454;
Marina mercante;143.99885572437452;
Tipo;económicos;
PIB;143.99885572437452;
Producción agrícola;143.99885572437452;
Producción industrial;143.99885572437452;
Población total;143.99885572437452;
Subescenario;1944;
Tipo;fuerzas aéreas;
Defensas anti-aéreas;143.99885572437452;
Pilotos;143.99885572437452;
Cazas y bombarderos;143.99885572437452;
Tipo;militares;
Infraestructura desarrollada;0.14399885572437454;
Soldados y marineros;143.99885572437452;
Kilómetros de ferrocarril;143.99885572437452;
Reservistas;143.99885572437452;
Tipo;navales;
Armada;143.99885572437452;
Potencia naval;0.14399885572437454;
Marina mercante;143.99885572437452;
Tipo;económicos;
PIB;143.99885572437452;
Producción agrícola;143.99885572437452;
Producción industrial;143.99885572437452;
Población total;143.99885572437452;
