Nombre;País Guay;
Subescenario;1860;
Tipo;Económicos;
PIB;2000;
Población total;2000;
Producción agrícola;2000;
Producción industrial;2000;
Tipo;Militares;
Soldados;2000;
Reservistas;2000;
Infraestructura desarrollada;1.0;
Tipo;Navales;
Armada;2000;
Potencia naval;1.0;
Subescenario;1870;
Tipo;Económicos;
PIB;2000;
Población total;2000;
Producción agrícola;2000;
Producción industrial;2000;
Tipo;Militares;
Soldados;2000;
Reservistas;2000;
Infraestructura desarrollada;1.0;
Tipo;Navales;
Armada;2000;
Potencia naval;1.0;
Subescenario;1880;
Tipo;Económicos;
PIB;2000;
Población total;2000;
Producción agrícola;2000;
Producción industrial;2000;
Tipo;Militares;
Soldados;2000;
Reservistas;2000;
Infraestructura desarrollada;1.0;
Tipo;Navales;
Armada;2000;
Potencia naval;1.0;
