Nombre;Final del siglo XIX;
Subescenario;1860;
Tipo;economicos;
PIB ($ Geary-Khamis de 1990);8;
Población total;8;
Total de la producción cerealera (trigo, maíz, centeno, avena, arroz) (Tm);8;
Producción carbón (Tm);8;
Producción acero (Tm);8;
Tipo;militares;
Densidad ferroviaria (km/km2);8;
Soldados -de todos los ejércitos-;11;
Reservistas -de todos los ejércitos-;11;
Infraestructura desarrollada;true;
Tipo;navales;
Tonelaje desplazado por la marina mercante (Tm);3;
Tonelaje desplazado por la Armada (Tm);5;
Potencia naval;true;
Subescenario;1870;
Tipo;economicos;
PIB ($ Geary-Khamis de 1990);8;
Población total;8;
Total de la producción cerealera (trigo, maíz, centeno, avena, arroz) (Tm);8;
Producción carbón (Tm);8;
Producción acero (Tm);8;
Tipo;militares;
Densidad ferroviaria (km/km2);8;
Soldados -de todos los ejércitos-;11;
Reservistas -de todos los ejércitos-;11;
Infraestructura desarrollada;true;
Tipo;navales;
Tonelaje desplazado por la marina mercante (Tm);3;
Tonelaje desplazado por la Armada (Tm);5;
Potencia naval;true;
Subescenario;1880;
Tipo;economicos;
PIB ($ Geary-Khamis de 1990);8;
Población total;8;
Total de la producción cerealera (trigo, maíz, centeno, avena, arroz) (Tm);8;
Producción carbón (Tm);8;
Producción acero (Tm);8;
Tipo;militares;
Densidad ferroviaria (km/km2);8;
Soldados -de todos los ejércitos-;11;
Reservistas -de todos los ejércitos-;11;
Infraestructura desarrollada;true;
Tipo;navales;
Tonelaje desplazado por la marina mercante (Tm);3;
Tonelaje desplazado por la Armada (Tm);5;
Potencia naval;true;
Subescenario;1890;
Tipo;economicos;
PIB ($ Geary-Khamis de 1990);8;
Población total;8;
Total de la producción cerealera (trigo, maíz, centeno, avena, arroz) (Tm);8;
Producción carbón (Tm);8;
Producción acero (Tm);8;
Tipo;militares;
Densidad ferroviaria (km/km2);8;
Soldados -de todos los ejércitos-;11;
Reservistas -de todos los ejércitos-;11;
Infraestructura desarrollada;true;
Tipo;navales;
Tonelaje desplazado por la marina mercante (Tm);3;
Tonelaje desplazado por la Armada (Tm);5;
Potencia naval;true;
